id,project_id,comment_text,comment_type,created_at,updated_at,author,category,text
34,333,"Hands on exhibit. Nieuwe V1 zou kunnen. Met de mogelijkheid om de trilsnelheid te manipuleren en met meerdere mensen om de exhibit heen te staan, zodat je samen kunt kijken en een gesprek kunt voeren over wat je ziet.",general,2025-10-06 10:07:58.698+00,2025-10-06 10:07:58.59691+00,Katja,1,
35,333,"Het biedt de kans om er samen om heen te staan en in gespek te gaan over wat je ziet en wat dat betekent. De patronen kunnen heel mooi zijn, wat verwondering oproep en zo nog meer een actief gesprek aanwakkert of je aan het denken zet: hoe kan dit? Ik zou de frequenties koppelen aan iets uit het dagelijks leven, zodat het wat minder abspract is. Dus ... Herz= de hoogste toon die een oprazanger kan zingen oid.",general,2025-10-06 10:11:42.094+00,2025-10-06 10:11:42.408732+00,Katja,2,
36,333,"Je moet het zand goed kunnen zien. De patronen moeten duidelijk zijn en goed tot hun recht komen, dit vraag om een opstelling die ook doorzichtig is maar ook goed afgewerkt. Er zijn veel frequenties die gekozen kunnen worden, is er een duidelijk verschil in patroon, dit lijkt me ook belangrijk, dat de patronen niet teveel op elkaar lijken. Als bezoekers er naar kijken is er een duidelijk verschilt tussen het patroon van optie 1 en van optie 2.",general,2025-10-06 10:14:10.852+00,2025-10-06 10:14:10.703043+00,Katja,3,
37,333,"Verwondering, maar omdat je zelf kunt bepalen met welke frequenties de plaat trilt, ook onderzoeken. En als je het kunt koppelen aan voorbeelden uit het dagelijks leven, dan secundait ook meer inzicht in geluid.",general,2025-10-06 10:15:48.591+00,2025-10-06 10:15:48.650495+00,Katja,4,
38,348,"Verdieping 2. Daar staat ook de exhibit Waterstroom, gaat ook over enegrie opwekken, ook met lampjes maar dan door een stuwdam te bouwen. Dit is ook een mooie handson exhibit. Ik zou me voor in NEMO nog kunnen voorstellen dat je naast een exhibit waar je echt met water werkt ook een scherm met een programma waarmee je exact kunt meten hoeveel energie er opgewekt wordt als je de waterteovoer en kracht van het stromen manipuleert. Ook hier zou ik het weer koppelen aan een herkenbaar voorbeeld uit het dagelijks leven, waar zie je het terug? Hoe wordt het in het dagelijks leven gebruikt?",general,2025-10-06 10:23:36.225+00,2025-10-06 10:23:36.4723+00,Katja,1,
39,348,"Heel prikkelend, je wilt het meteen zelf gaan doen en gaan uitproberen. Je krijgt meteen feedback op wat je doet. Iedereen vindt het leuk om met water te spelen. Er is geen goed of fout.",general,2025-10-06 10:25:27.516+00,2025-10-06 10:25:27.359123+00,Katja,2,
40,348,"Er moet een systeem zijn waardoor het water voldoende behouden blijft en weer aangevuld wordt. Het ziet er nu uit alsof het alle kanten op spat? In een Museum kan dat wel eenbeetje opgevangen worden door een juiste omgeving en ondergrond te maken, maar je wilt niet dat mensen standaard nat worden als ze exhibit doen. Ook niet ivm veiligheid. Het zo verder mooi zijn als je de lampjes kunt zien als je het water erin gooit of laat stromen. Nu zitten de lampjes aan de achterkant, je wilt meteen goed kunnen zien of door het water wat valt, de lampjes op dat moment gaan branden.",general,2025-10-06 10:28:32.171+00,2025-10-06 10:28:31.957724+00,Katja,3,
41,348,"Onderzoekene en ontwerpen staat centraal. Uitproberen en manipuleren, hoe zit het? Wat gebeurt er?",general,2025-10-06 10:29:29.093+00,2025-10-06 10:29:28.870189+00,Katja,4,
42,342,"I like a cloud champer exhibit. However we do have one on the third floor. Maybe a smaller version as this can be used in demonstrations, workshops or the Maakplaats. But I do not know iof this is possible and workable (how easy is it toi work with and how safe)",general,2025-10-06 14:40:32.738+00,2025-10-06 14:40:32.40734+00,Inka,1,
43,342,"Maybe in a smaller and facilitated setting like a demonstarion, workshop or Werkplaats.",general,2025-10-06 14:41:20.83+00,2025-10-06 14:41:20.434074+00,Inka,2,
44,342,It is small so not many visitors at once can see. There has to be an added value of something else (f.e facilitation) bacause rhere ia already a Cloud chamber on the floor.,general,2025-10-06 14:43:16.923+00,2025-10-06 14:43:16.865138+00,Inka,3,
45,342,"I think the value for visitor expirience is high; seeing evidence of very small particels. How ever, there is already a Cloud Chamber in NEMO. So for this version something needs to be added.",general,2025-10-06 14:44:52.838+00,2025-10-06 14:44:52.461918+00,Inka,4,
46,360,"It is not entirely clear to me why the leds's (that i cannot see in the clip) and the wheel are there. Is it to show that there is an electric pulse? But i can see that already from the arm. 
I get what is happening here but the link with thje result is not clear and why this result? The link with everyday life and the use of inductie is missing.",general,2025-10-06 14:48:59.167+00,2025-10-06 14:48:58.785165+00,Inka,1,
47,360,"I mis explanation, use of induction and why this movement/lights are chosen (relatie vorm en inhoud).",general,2025-10-06 14:49:41.041+00,2025-10-06 14:49:40.638559+00,Inka,2,
48,360,"The idea of making induction visible I like, how ever why this exhibit is as it is, is not clear to me. I would like a stronger link between form and function.",general,2025-10-06 14:51:13.724+00,2025-10-06 14:51:13.314562+00,Inka,3,
49,360,"Now the link into why this is important, or interesting, or ... is missing",general,2025-10-06 14:51:42.509+00,2025-10-06 14:51:42.073073+00,Inka,4,
50,376,There is a lot of info missing. I do like the idea of an metal detector in which you can see what is happening (deconstructed). But I can't see if this is the cass here.,general,2025-10-06 14:53:33.737+00,2025-10-06 14:53:33.688873+00,Inka,1,
51,376,If it is visible why a metal detector works I think it can be interested but I am not sure it is possible.,general,2025-10-06 14:54:26.459+00,2025-10-06 14:54:26.065995+00,Inka,2,
52,376,As there is not much information and it is not really visible there needs to be done a lot of work.,general,2025-10-06 14:55:01.252+00,2025-10-06 14:55:00.868793+00,Inka,3,
53,376,"If iot works, you can see how it works. It can be intersting for a demo, like a toolbelt activity for the explainers.",general,2025-10-06 14:55:48.589+00,2025-10-06 14:55:48.193449+00,Inka,4,
54,378,Too little information provided.,general,2025-10-06 14:56:36.975+00,2025-10-06 14:56:36.567603+00,Inka,1,
55,378,Maybe but too little information provided,general,2025-10-06 14:56:59.264+00,2025-10-06 14:56:58.836408+00,Inka,2,
