id,title,tags,description,year,category,rating,curator,project_link,feedback,image_url,created_at,updated_at,student_name,image_urls,video_urls,categories
332,120W Induction Cooktop,,"induction cooktop, which would be able to bake an egg.",,,1,Annemarie,https://www.instructables.com/120W-Induction-Cooktop/,,,,2025-10-09 10:08:45.574934+00,,,[],[]
333,Acoustic visualisation,,"Through sound, sand and a metal plate we visualise the frequencies emitted from a speaker put under.",,,4,Katja,,,,,2025-10-09 08:32:49.483355+00,,,[],[]
334,1 MHz Morse-Code Radio-Telegraph Transmitter,,"In this project you will build a pocket‑size AM transmitter that lets you send Morse code two meters through the air. The transmitter core is a Colpitts oscillator tuned to roughly 1 MHz (the lower edge of the standard AM broadcast band) supplied by DC-current.

While the circuit is tiny, it combines a number of engineering disciplines: RF simulation, analogue electronics, coil‑winding, electromagnetic shielding, and even a touch of mechanical design.",,,2,Marije,https://www.instructables.com/Build-a-1-MHz-Morse-Code-Radio-Telegraph-Transmitt/,,,,2025-10-10 11:00:34.905909+00,,,"[]",[]
335,Archimedean screw to power,,,,,4,Judith,,,,,2025-10-09 08:32:44.41898+00,,,"[]",[]
336,Audio Filter,,"Wij hebben een audio filter gemaakt. Dit audio filter bestaat zowel uit een low pass als een high pass filter, hiermee kunnen dus ofwel de hoge ofwel de lage frequenties uit een audiosignaal gefilterd worden.",2023,,0,Jose,https://www.instructables.com/Audio-Filter/,,,,2025-10-09 08:12:07.006857+00,,,[],[]
337,Automatic Gearbox,,"An automatic gearbox made from lasercut wood and driven by a steppermotor. A hall sensor measures the RPM rate and than sents a signal to a second stepper motor, which drives the linear actuator to change gears.",2024,,0,Esther,https://www.instructables.com/Automatic-Gearbox/,,,,2025-10-09 08:12:07.006857+00,,,"[]",[]
338,Bipolar Magnetic Safety System,,"""Wil je een leuke demo over de kracht van magnetisme maken, dan ben op de goeie plek! Dit is een instructable voor de volledige creatie van The Bipolar Magnetic Safety System, het systeem kan een rollercoaster kar een helling optrekken en kan de kar ook afremmen als hij de helling afgaat, veel plezier met bouwen!""",2025,,0,Marije,https://www.instructables.com/The-Bipolar-Magnetic-Safety-System/,,,,2025-10-01 14:08:40.978292+00,,,"[]",[]
339,Bubble breakpoint detector [Larger and Smaller version],,Highlighy sensitive sensor to detect the tensile strength of soap when a bubble pops,,,3,Mart,,,,,2025-10-09 14:24:47.606814+00,,,[],[]
341,Buoyaninator,,"Buoyaninator is a solution that utilizes buoyancy: the upward force exerted by a fluid on an object, created by the pressure difference between the top and bottom of the object—in our case, an empty plastic bottle.

""De Buoyaninator is een oplossing die gebruik maakt van drijfvermogen; de opwaartse kracht die door een vloeistof wordt uitgeoefend op een object en ontstaat door het drukverschil tussen de boven- en onderzijde van het object, met in ons geval: een lege plastic fles. Door de aanwezigheid van kracht is er ook energie aanwezig, met name potentiële energie. Wanneer je bijvoorbeeld een opblaasbare strandbal onder water duwt en deze loslaat, wordt de potentiële energie omgezet in kinetische energie doordat de bal weer naar boven stijgt door de opwaartse kracht van het drijfvermogen.

Het drijfvermogen van voorwerpen in vloeistoffen bevat dus bruikbare energie. Om deze onbenutte energie op te vangen, maakt de Buoyaninator gebruik van elektromagnetische inductie. Dit gebeurt door magneten boven op de fles te plaatsen. Wanneer de fles omhoog schiet in het water en de magneten door de spoel bewegen, wekt het veranderende magnetisch veld een elektrische spanning op.""",2025,,0,Annemarie,https://www.instructables.com/Buoyaninator/,,,,2025-10-01 14:08:40.978292+00,,,"[]",[]
342,Cloud Chamber,,"A cloud chamber makes elementary particles visible to the human eye, or at least, it makes the condensation trail left by the particles travelling through the chamber visible.

(This project already exists on the third floor of NEMO but a more self-built approach could highlight the accesbility aspect of science and that it can be replicated)",,,2,Inka,https://www.instructables.com/Cloud-Chamber-1/,,,,2025-10-15 09:26:48.930503+00,,,"[]",[]
343,Coilgun,,"Launch mechanism that uses magnetic fields to propel a magnetic projectile (e.g., a pellet) at high speed.

""Dit is een lanceermechanisme die gebruik maakt van magnetische velden die een magnetisch projectiel (bv. een balletje) met grote snelheid kan schieten. Dit klinkt natuurlijk al veel interessanter dan het normale lanceermechanisme van een speelgoed pistooltje.""",,,3,Esther,https://www.instructables.com/Coilgun-Eindproject-Def-Groepje-22/,,,,2025-10-09 08:32:59.42345+00,,,[],[]
344,Combustion Pump,,"Compressing the air inside the pump to burn a piece of cotton.

""Using the pump can be a bit difficult. Keep your body relaxed while pushing down and try to get as much speed as possible. We recommend using your fingers more and not the palm of your hand since that will hurt quite a bit. Our pump was able to ignite cotton, but if it doesn't work, you can try using a bit of unrefined sunflower oil. Just put a little cotton on the bottom of the tube with and push it down with a stick that doesn't damage the tube wall, like wood.""",,,4,Esther,https://www.instructables.com/Combustion-Pump/,,,,2025-10-09 08:33:06.814763+00,,,[],[]
345,Conservation of Angular Momentum and Induced Voltage,,"Demonstrates the conservation of angular momentum. Demonstrated by generating an induced voltage that is measured with an Arduino

""Dit is een opstelling waarbij duidelijk het behoud van impulsmoment kan worden aangetoond. Dit wordt aangetoond door een inductiespanning op te wekken die gemeten wordt met een arduino. Aan de hand hiervan kan de rotatiesnelheid van de opstelling worden berekend.""",,,1,Jose,https://www.instructables.com/Demonstatie-Opstelling-Behoud-Van-Impulsmoment-En-/,,,,2025-10-07 14:55:52.585838+00,,,[],[]
